topicId,P@10,P@50,MAP@100,MAP@20,system
401,0.7,0.62,0.6781664090631148,0.826032647907648,apl8c221
402,0.8,0.48,0.6502504216403785,0.867492266812258,apl8c221
403,1.0,0.4,0.8816835355480068,0.9678702731092438,apl8c221
404,0.4,0.28,0.3754289800594455,0.6427318295739347,apl8c221
405,0.6,0.3,0.4534656319975999,0.7230218855218855,apl8c221
406,0.6,0.26,0.4733312894303606,0.5673611111111112,apl8c221
407,0.8,0.4,0.598161331345376,0.8486509133567955,apl8c221
408,0.3,0.48,0.4363069656414043,0.43194444444444446,apl8c221
409,0.3,0.14,0.3767262753938327,0.7784090909090909,apl8c221
410,1.0,0.78,0.8724044683115693,1.0,apl8c221
411,0.7,0.3,0.6548113790191973,0.8250765710324531,apl8c221
412,0.1,0.12,0.16810897521199072,0.3269230769230769,apl8c221
413,0.7,0.46,0.5807228254890668,0.8291387905024267,apl8c221
414,0.2,0.16,0.26183996134160936,0.5348484848484848,apl8c221
415,1.0,0.76,0.8435344286724147,0.9689432595650346,apl8c221
416,0.4,0.38,0.4215097981725286,0.4732488271961956,apl8c221
417,0.8,0.42,0.5679728136125719,0.8026718981053346,apl8c221
418,0.8,0.4,0.5395329349840797,0.8348484848484848,apl8c221
419,0.1,0.14,0.2732741323719146,0.4658119658119659,apl8c221
420,0.8,0.34,0.648636593313735,0.8506597024979378,apl8c221
421,0.0,0.02,0.04790883140771678,0.0,apl8c221
422,0.3,0.46,0.4514116328472961,0.4076607420357421,apl8c221
423,0.9,0.32,0.833564818927336,0.9219122147693576,apl8c221
424,0.5,0.48,0.500135260029862,0.5747331375195153,apl8c221
425,0.7,0.52,0.5696863838335275,0.7144348492065212,apl8c221
426,0.3,0.14,0.21862241646692412,0.2648809523809524,apl8c221
427,0.4,0.34,0.39992209108929133,0.5289395363408521,apl8c221
428,0.5,0.5,0.5203760355541492,0.5997604304879847,apl8c221
429,0.1,0.18,0.17874834894559055,0.20604395604395606,apl8c221
430,0.3,0.12,0.6196581196581197,0.6196581196581197,apl8c221
431,0.8,0.66,0.73323064954441,0.9136687964812967,apl8c221
432,0.0,0.02,0.024390243902439025,0.0,apl8c221
433,0.0,0.08,0.07987012987012987,0.05,apl8c221
434,0.6,0.44,0.49291483403959135,0.7759181096681096,apl8c221
435,0.8,0.48,0.572555327399638,0.775512782710925,apl8c221
436,0.4,0.18,0.25078808977204287,0.38749999999999996,apl8c221
437,0.0,0.0,0.0,0.0,apl8c221
438,0.2,0.24,0.25151606961377,0.2533333333333333,apl8c221
439,0.0,0.04,0.046383146533831465,0.0,apl8c221
440,0.4,0.38,0.37017315564670195,0.40451196072971096,apl8c221
441,0.7,0.24,0.7063533484402356,0.8248638987275352,apl8c221
442,0.2,0.08,0.20967120825758162,0.46581196581196577,apl8c221
443,0.1,0.18,0.12913235587843028,0.10263157894736842,apl8c221
444,1.0,0.32,0.924178599178599,0.9532356532356532,apl8c221
445,0.7,0.28,0.5684120765268431,0.7571915584415584,apl8c221
446,0.8,0.54,0.624340883172244,0.8717479102094489,apl8c221
447,0.9,0.24,0.8843084668742561,0.8843084668742561,apl8c221
448,0.0,0.08,0.0973820789372863,0.05555555555555555,apl8c221
449,0.5,0.24,0.4888229904297091,0.6811579850795536,apl8c221
450,1.0,0.76,0.8389708140093814,0.9422712273763997,apl8c221
401,0.4,0.34,0.407549354289085,0.5176027676027677,att99ate
402,0.6,0.32,0.5396757426062502,0.7326206636500754,att99ate
403,0.9,0.42,0.8193715416072781,0.8856322997035072,att99ate
404,0.2,0.22,0.24351695090046271,0.25630952380952376,att99ate
405,0.3,0.22,0.2960763414069704,0.3764509300223586,att99ate
406,0.5,0.2,0.5316416407316301,0.66727145403616,att99ate
407,0.9,0.64,0.7459924378376163,0.929235649219202,att99ate
408,0.2,0.3,0.33998862160104604,0.38357362083589414,att99ate
409,0.1,0.08,0.2353836502231787,0.5588235294117647,att99ate
410,1.0,0.88,0.913773452885583,0.9973684210526316,att99ate
411,0.6,0.22,0.5997433080259827,0.7378472222222222,att99ate
412,0.9,0.68,0.7347704873086663,0.9088890866413175,att99ate
413,0.1,0.08,0.09737997355761414,0.11437908496732026,att99ate
414,0.4,0.22,0.35671656676044383,0.6196769616937684,att99ate
415,1.0,0.84,0.8958708388988466,1.0,att99ate
416,0.3,0.38,0.3615292877492333,0.35015196361945583,att99ate
417,0.0,0.02,0.05555555555555555,0.05555555555555555,att99ate
418,0.8,0.52,0.591753891990774,0.8337235133287766,att99ate
419,0.1,0.06,0.1116757025533467,0.18333333333333335,att99ate
420,0.9,0.32,0.6475030254909088,0.8473018879268878,att99ate
421,0.0,0.12,0.1263510454478811,0.12905982905982905,att99ate
422,0.5,0.32,0.38892373978704325,0.5230642712550606,att99ate
423,0.9,0.26,0.7221484533984536,0.8271647334147336,att99ate
424,0.4,0.14,0.22384885192209344,0.34524853801169586,att99ate
425,1.0,0.76,0.8327948841834667,0.9945983379501384,att99ate
426,0.0,0.06,0.05969707746023536,0.0,att99ate
427,0.4,0.22,0.339101430993044,0.6034544159544158,att99ate
428,0.2,0.4,0.39912959222516914,0.36859552824626357,att99ate
429,0.3,0.2,0.30183034089980915,0.3298611111111111,att99ate
430,0.3,0.12,0.31031746031746027,0.3708333333333333,att99ate
431,0.9,0.68,0.7677911301587377,0.9308980275722729,att99ate
432,0.0,0.0,0.0,0.0,att99ate
433,0.2,0.1,0.2161888764464352,0.2692982456140351,att99ate
